id,rel_output,rel_type
trm_4a3fd79d09c28,trm_4a3fd79d0affd,hasPart
trm_4a3fd79d09c28,trm_55ce70b20186b,hasPart
trm_4a3fd79d09c28,trm_4a3fd79d0a038,isKindOf
trm_4a3fd79d09c34,trm_4a3fd79d09c34,isSelf
trm_4a3fd79d09c34,ctp_C3,inCategory
trm_4a3fd79d09c3f,trm_4a3fd79d09c3f,isSelf
trm_4a3fd79d09c3f,ctp_C5,inCategory
trm_4a3fd79d09c5b,trm_4a3fd79d09c5b,isSelf
trm_4a3fd79d09c5b,ctp_C3,inCategory
trm_4a3fd79d09c5b,trm_4a3fd79d0a5ed,isKindOf
trm_4a3fd79d09c69,trm_4a3fd79d09c69,isSelf
trm_4a3fd79d09c69,ctp_C2,inCategory
trm_4b82c75498408,trm_4b82c75498408,isSelf
trm_4a3fd79d0ba25,trm_4a3fd79d0ba25,isSelf
trm_4a3fd79d0ba25,ctp_C4,inCategory
trm_4a3fd79d0ba25,trm_4a3fd79d0a252,isPartOf
trm_4a3fd79d0ba25,trm_4a3fd79d0b5a7,isPartOf
trm_4a3fd79d0ba25,trm_4aae62e4ad209,isPartOf
trm_4a3fd79d09c74,trm_4a3fd79d09c74,isSelf
trm_4fea238758d33,trm_4fea238758d33,isSelf
trm_4fea238758d33,trm_4fe3861edc919,isKindOf
trm_4a3fd79d09c80,trm_4a3fd79d09c80,isSelf
trm_4a3fd79d09c80,ctp_C1,inCategory
trm_4a3fd79d09c97,trm_4a3fd79d09c97,isSelf
trm_4a3fd79d09c97,ctp_C1,inCategory
trm_4a3fd79d09ca3,trm_4a3fd79d09ca3,isSelf
trm_4a3fd79d09ca3,ctp_C5,inCategory
trm_4a3fd79d09cae,trm_4a3fd79d09cae,isSelf
trm_4a3fd79d09cae,ctp_C4,inCategory
trm_4a3fd79d09cae,trm_4a3fd79d0b5a7,isPartOf
trm_5159c382bd8d4,trm_5159c382bd8d4,isSelf
trm_4aae62e4ad209,trm_4aae62e4ad209,isSelf
trm_4aae62e4ad209,ctp_C4,inCategory
trm_4aae62e4ad209,trm_4a3fd79d0ac30,hasKind
trm_4aae62e4ad209,trm_5519b5f181edd,hasKind
trm_4aae62e4ad209,trm_4ee8facd77dfc,hasKind
trm_4aae62e4ad209,trm_4a3fd79d0a613,hasKind
trm_4aae62e4ad209,trm_4a3fd79d0b613,hasKind
trm_4aae62e4ad209,trm_4c3e04d656f06,hasKind
trm_4aae62e4ad209,trm_557b49851e991,hasKind
trm_4aae62e4ad209,trm_557b4aa070c10,hasKind
